iteration,temperature,current_distance,best_distance,route
0,10000.0,1558.6423150849057,1558.6423150849057,City_20 -> City_15 -> City_11 -> City_27 -> City_23 -> City_7 -> City_6 -> City_13 -> City_12 -> City_16 -> City_10 -> City_26 -> City_30 -> City_22 -> City_17 -> City_28 -> City_2 -> City_14 -> City_19 -> City_3 -> City_18 -> City_29 -> City_5 -> City_25 -> City_8 -> City_9 -> City_24 -> City_1 -> City_4 -> City_21
100,6057.70436490728,1716.625303470772,1494.5684283550127,City_11 -> City_8 -> City_13 -> City_18 -> City_9 -> City_16 -> City_3 -> City_28 -> City_14 -> City_21 -> City_7 -> City_23 -> City_22 -> City_25 -> City_4 -> City_10 -> City_5 -> City_6 -> City_12 -> City_17 -> City_26 -> City_19 -> City_2 -> City_29 -> City_30 -> City_24 -> City_1 -> City_27 -> City_20 -> City_15
200,3669.578217261671,1679.7385692581233,1467.8465244346587,City_12 -> City_4 -> City_30 -> City_29 -> City_22 -> City_14 -> City_13 -> City_1 -> City_7 -> City_15 -> City_17 -> City_20 -> City_5 -> City_16 -> City_23 -> City_28 -> City_11 -> City_6 -> City_8 -> City_25 -> City_3 -> City_21 -> City_2 -> City_26 -> City_9 -> City_18 -> City_10 -> City_19 -> City_24 -> City_27
300,2222.9219984074693,1902.379895339363,1340.6097949101954,City_19 -> City_5 -> City_18 -> City_23 -> City_11 -> City_12 -> City_29 -> City_16 -> City_4 -> City_9 -> City_7 -> City_21 -> City_15 -> City_30 -> City_1 -> City_2 -> City_28 -> City_8 -> City_13 -> City_10 -> City_22 -> City_20 -> City_25 -> City_6 -> City_3 -> City_24 -> City_26 -> City_17 -> City_14 -> City_27
400,1346.5804292601335,1469.8117564443073,1340.6097949101954,City_11 -> City_2 -> City_14 -> City_5 -> City_27 -> City_21 -> City_20 -> City_30 -> City_13 -> City_15 -> City_12 -> City_29 -> City_3 -> City_25 -> City_10 -> City_24 -> City_9 -> City_16 -> City_6 -> City_28 -> City_26 -> City_7 -> City_23 -> City_22 -> City_4 -> City_17 -> City_8 -> City_18 -> City_1 -> City_19
500,815.7186144027828,1546.4295859963922,1340.6097949101954,City_7 -> City_29 -> City_17 -> City_6 -> City_12 -> City_26 -> City_13 -> City_28 -> City_23 -> City_4 -> City_14 -> City_20 -> City_30 -> City_10 -> City_19 -> City_22 -> City_18 -> City_3 -> City_27 -> City_21 -> City_5 -> City_25 -> City_11 -> City_8 -> City_1 -> City_9 -> City_24 -> City_2 -> City_16 -> City_15
600,494.13822110038524,1622.7931530767607,1340.6097949101954,City_26 -> City_2 -> City_4 -> City_17 -> City_29 -> City_12 -> City_14 -> City_19 -> City_30 -> City_21 -> City_28 -> City_25 -> City_18 -> City_15 -> City_8 -> City_27 -> City_11 -> City_9 -> City_16 -> City_5 -> City_22 -> City_10 -> City_13 -> City_6 -> City_20 -> City_3 -> City_23 -> City_1 -> City_24 -> City_7
700,299.33432588273234,1446.2002740592945,1340.6097949101954,City_28 -> City_6 -> City_1 -> City_24 -> City_13 -> City_15 -> City_10 -> City_3 -> City_23 -> City_30 -> City_11 -> City_25 -> City_14 -> City_17 -> City_27 -> City_7 -> City_21 -> City_22 -> City_2 -> City_29 -> City_8 -> City_20 -> City_26 -> City_18 -> City_12 -> City_4 -> City_19 -> City_16 -> City_9 -> City_5
800,181.32788524664045,1665.6320814618066,1340.6097949101954,City_3 -> City_4 -> City_12 -> City_1 -> City_14 -> City_16 -> City_23 -> City_17 -> City_9 -> City_6 -> City_24 -> City_10 -> City_8 -> City_11 -> City_29 -> City_7 -> City_26 -> City_19 -> City_18 -> City_20 -> City_28 -> City_2 -> City_13 -> City_15 -> City_22 -> City_5 -> City_27 -> City_21 -> City_25 -> City_30
900,109.84307219379802,1462.7287714356905,1340.6097949101954,City_18 -> City_12 -> City_23 -> City_22 -> City_11 -> City_21 -> City_15 -> City_14 -> City_30 -> City_29 -> City_8 -> City_10 -> City_7 -> City_20 -> City_16 -> City_2 -> City_17 -> City_13 -> City_1 -> City_3 -> City_24 -> City_19 -> City_5 -> City_6 -> City_9 -> City_27 -> City_25 -> City_4 -> City_28 -> City_26
