iteration,temperature,current_distance,best_distance,route
0,10000.0,2658.9855146778245,2658.9855146778245,City_26 -> City_24 -> City_20 -> City_12 -> City_5 -> City_46 -> City_27 -> City_10 -> City_30 -> City_17 -> City_32 -> City_22 -> City_13 -> City_4 -> City_40 -> City_39 -> City_11 -> City_25 -> City_36 -> City_1 -> City_44 -> City_19 -> City_34 -> City_49 -> City_42 -> City_31 -> City_29 -> City_21 -> City_23 -> City_43 -> City_47 -> City_37 -> City_33 -> City_45 -> City_14 -> City_50 -> City_48 -> City_3 -> City_28 -> City_38 -> City_6 -> City_35 -> City_7 -> City_9 -> City_15 -> City_16 -> City_18 -> City_2 -> City_8 -> City_41
100,6057.70436490728,2570.745276457682,2322.2579726912695,City_12 -> City_13 -> City_44 -> City_10 -> City_4 -> City_34 -> City_40 -> City_39 -> City_11 -> City_5 -> City_14 -> City_1 -> City_45 -> City_42 -> City_46 -> City_38 -> City_21 -> City_17 -> City_49 -> City_29 -> City_22 -> City_28 -> City_30 -> City_35 -> City_37 -> City_41 -> City_24 -> City_8 -> City_25 -> City_31 -> City_15 -> City_7 -> City_26 -> City_43 -> City_48 -> City_47 -> City_32 -> City_18 -> City_20 -> City_33 -> City_3 -> City_27 -> City_6 -> City_9 -> City_16 -> City_50 -> City_2 -> City_36 -> City_19 -> City_23
200,3669.578217261671,2935.3269954993925,2322.2579726912695,City_5 -> City_17 -> City_45 -> City_9 -> City_47 -> City_14 -> City_18 -> City_50 -> City_35 -> City_10 -> City_44 -> City_34 -> City_26 -> City_24 -> City_3 -> City_28 -> City_33 -> City_20 -> City_37 -> City_41 -> City_22 -> City_2 -> City_12 -> City_25 -> City_40 -> City_39 -> City_6 -> City_1 -> City_8 -> City_23 -> City_15 -> City_32 -> City_48 -> City_19 -> City_16 -> City_7 -> City_31 -> City_13 -> City_43 -> City_49 -> City_38 -> City_42 -> City_36 -> City_11 -> City_21 -> City_46 -> City_4 -> City_30 -> City_27 -> City_29
300,2222.9219984074693,3079.0688477580047,2322.2579726912695,City_45 -> City_46 -> City_48 -> City_8 -> City_27 -> City_28 -> City_43 -> City_1 -> City_16 -> City_29 -> City_26 -> City_11 -> City_9 -> City_25 -> City_34 -> City_49 -> City_22 -> City_2 -> City_14 -> City_33 -> City_38 -> City_41 -> City_42 -> City_13 -> City_12 -> City_6 -> City_32 -> City_50 -> City_39 -> City_10 -> City_40 -> City_17 -> City_19 -> City_24 -> City_30 -> City_4 -> City_31 -> City_44 -> City_21 -> City_23 -> City_3 -> City_18 -> City_36 -> City_5 -> City_35 -> City_15 -> City_20 -> City_47 -> City_37 -> City_7
400,1346.5804292601335,2543.7101328425106,2322.2579726912695,City_25 -> City_24 -> City_6 -> City_38 -> City_42 -> City_5 -> City_48 -> City_7 -> City_37 -> City_34 -> City_43 -> City_29 -> City_49 -> City_1 -> City_9 -> City_8 -> City_32 -> City_18 -> City_46 -> City_17 -> City_14 -> City_28 -> City_10 -> City_16 -> City_2 -> City_44 -> City_13 -> City_21 -> City_4 -> City_23 -> City_27 -> City_19 -> City_47 -> City_50 -> City_41 -> City_30 -> City_40 -> City_3 -> City_11 -> City_33 -> City_36 -> City_20 -> City_45 -> City_15 -> City_35 -> City_22 -> City_26 -> City_12 -> City_31 -> City_39
500,815.7186144027828,2670.5381107644657,2322.2579726912695,City_13 -> City_15 -> City_35 -> City_43 -> City_24 -> City_19 -> City_20 -> City_12 -> City_1 -> City_25 -> City_14 -> City_4 -> City_37 -> City_46 -> City_10 -> City_21 -> City_40 -> City_2 -> City_48 -> City_33 -> City_32 -> City_50 -> City_30 -> City_11 -> City_3 -> City_23 -> City_44 -> City_41 -> City_27 -> City_6 -> City_18 -> City_16 -> City_31 -> City_9 -> City_49 -> City_7 -> City_29 -> City_17 -> City_28 -> City_47 -> City_8 -> City_26 -> City_39 -> City_38 -> City_36 -> City_42 -> City_22 -> City_5 -> City_34 -> City_45
600,494.13822110038524,2624.8585350756407,2322.2579726912695,City_35 -> City_4 -> City_27 -> City_16 -> City_29 -> City_24 -> City_37 -> City_30 -> City_38 -> City_39 -> City_13 -> City_9 -> City_3 -> City_22 -> City_32 -> City_41 -> City_14 -> City_10 -> City_46 -> City_23 -> City_50 -> City_34 -> City_18 -> City_40 -> City_49 -> City_11 -> City_48 -> City_5 -> City_43 -> City_21 -> City_26 -> City_25 -> City_1 -> City_7 -> City_20 -> City_6 -> City_45 -> City_33 -> City_42 -> City_8 -> City_19 -> City_36 -> City_47 -> City_44 -> City_31 -> City_2 -> City_15 -> City_12 -> City_28 -> City_17
700,299.33432588273234,2621.925941747532,2282.7759367062417,City_38 -> City_2 -> City_20 -> City_44 -> City_17 -> City_27 -> City_49 -> City_29 -> City_34 -> City_8 -> City_11 -> City_18 -> City_36 -> City_39 -> City_41 -> City_22 -> City_33 -> City_7 -> City_6 -> City_4 -> City_32 -> City_23 -> City_16 -> City_46 -> City_3 -> City_50 -> City_28 -> City_12 -> City_10 -> City_21 -> City_31 -> City_25 -> City_24 -> City_26 -> City_43 -> City_15 -> City_42 -> City_30 -> City_14 -> City_40 -> City_9 -> City_13 -> City_37 -> City_47 -> City_5 -> City_35 -> City_45 -> City_1 -> City_19 -> City_48
800,181.32788524664045,2636.275077490354,2282.7759367062417,City_49 -> City_20 -> City_48 -> City_50 -> City_2 -> City_45 -> City_13 -> City_6 -> City_10 -> City_12 -> City_3 -> City_39 -> City_7 -> City_1 -> City_37 -> City_9 -> City_36 -> City_25 -> City_26 -> City_29 -> City_28 -> City_5 -> City_47 -> City_43 -> City_16 -> City_34 -> City_14 -> City_41 -> City_8 -> City_24 -> City_33 -> City_21 -> City_32 -> City_35 -> City_30 -> City_46 -> City_44 -> City_40 -> City_19 -> City_42 -> City_23 -> City_31 -> City_22 -> City_18 -> City_27 -> City_11 -> City_17 -> City_38 -> City_15 -> City_4
900,109.84307219379802,2504.427615254032,2282.7759367062417,City_36 -> City_11 -> City_17 -> City_9 -> City_37 -> City_8 -> City_34 -> City_4 -> City_48 -> City_42 -> City_22 -> City_5 -> City_7 -> City_26 -> City_28 -> City_41 -> City_50 -> City_15 -> City_40 -> City_21 -> City_32 -> City_6 -> City_47 -> City_38 -> City_24 -> City_23 -> City_13 -> City_27 -> City_31 -> City_1 -> City_30 -> City_39 -> City_33 -> City_45 -> City_20 -> City_35 -> City_46 -> City_10 -> City_44 -> City_2 -> City_49 -> City_3 -> City_14 -> City_19 -> City_29 -> City_43 -> City_12 -> City_18 -> City_25 -> City_16
