iteration,current_distance,best_distance,route
10,1295.9019418218504,1295.9019418218504,City_10 -> City_4 -> City_1 -> City_20 -> City_16 -> City_25 -> City_31 -> City_12 -> City_30 -> City_33 -> City_24 -> City_29 -> City_40 -> City_19 -> City_32 -> City_7 -> City_36 -> City_27 -> City_14 -> City_23 -> City_21 -> City_13 -> City_38 -> City_5 -> City_37 -> City_17 -> City_22 -> City_34 -> City_3 -> City_11 -> City_39 -> City_15 -> City_9 -> City_35 -> City_6 -> City_28 -> City_26 -> City_18 -> City_2 -> City_8
20,1063.404485281096,1063.404485281096,City_3 -> City_30 -> City_1 -> City_5 -> City_16 -> City_25 -> City_31 -> City_12 -> City_9 -> City_33 -> City_24 -> City_29 -> City_19 -> City_40 -> City_36 -> City_7 -> City_32 -> City_20 -> City_14 -> City_21 -> City_23 -> City_13 -> City_38 -> City_28 -> City_35 -> City_17 -> City_22 -> City_34 -> City_10 -> City_11 -> City_39 -> City_15 -> City_4 -> City_37 -> City_6 -> City_27 -> City_26 -> City_18 -> City_2 -> City_8
30,1002.279460599808,1002.279460599808,City_3 -> City_23 -> City_1 -> City_13 -> City_10 -> City_25 -> City_31 -> City_12 -> City_9 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_36 -> City_7 -> City_32 -> City_20 -> City_24 -> City_33 -> City_14 -> City_5 -> City_38 -> City_17 -> City_35 -> City_6 -> City_22 -> City_34 -> City_16 -> City_11 -> City_39 -> City_15 -> City_37 -> City_4 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_8
40,884.5811614021686,884.5811614021686,City_3 -> City_34 -> City_1 -> City_13 -> City_10 -> City_25 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_36 -> City_7 -> City_32 -> City_20 -> City_5 -> City_9 -> City_33 -> City_24 -> City_23 -> City_17 -> City_35 -> City_6 -> City_22 -> City_4 -> City_37 -> City_15 -> City_39 -> City_11 -> City_16 -> City_38 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_8
50,847.5795203898866,847.5795203898866,City_3 -> City_24 -> City_1 -> City_13 -> City_5 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_32 -> City_7 -> City_36 -> City_39 -> City_25 -> City_33 -> City_9 -> City_23 -> City_34 -> City_17 -> City_35 -> City_6 -> City_22 -> City_4 -> City_37 -> City_15 -> City_16 -> City_11 -> City_20 -> City_38 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_8
60,802.9596108185352,802.9596108185352,City_3 -> City_24 -> City_33 -> City_13 -> City_5 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_11 -> City_16 -> City_25 -> City_9 -> City_23 -> City_34 -> City_17 -> City_35 -> City_6 -> City_22 -> City_4 -> City_37 -> City_1 -> City_36 -> City_32 -> City_2 -> City_38 -> City_28 -> City_27 -> City_18 -> City_26 -> City_20 -> City_8
70,786.0195422254468,785.6140420073878,City_3 -> City_9 -> City_24 -> City_13 -> City_5 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_16 -> City_11 -> City_25 -> City_23 -> City_37 -> City_6 -> City_35 -> City_17 -> City_22 -> City_4 -> City_34 -> City_1 -> City_20 -> City_32 -> City_2 -> City_38 -> City_28 -> City_27 -> City_18 -> City_26 -> City_33 -> City_8
80,744.102595601237,744.102595601237,City_3 -> City_24 -> City_9 -> City_23 -> City_33 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_13 -> City_1 -> City_17 -> City_35 -> City_6 -> City_22 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_38 -> City_26 -> City_27 -> City_18 -> City_28 -> City_5 -> City_8
90,731.3903518556381,731.3903518556381,City_3 -> City_33 -> City_23 -> City_24 -> City_9 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_13 -> City_1 -> City_35 -> City_17 -> City_6 -> City_22 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_8
100,726.785805749994,723.8044342337976,City_29 -> City_8 -> City_9 -> City_33 -> City_24 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_3 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_13 -> City_1 -> City_35 -> City_6 -> City_17 -> City_22 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
110,723.9962948347468,721.7606853705031,City_33 -> City_29 -> City_3 -> City_12 -> City_9 -> City_24 -> City_10 -> City_31 -> City_14 -> City_21 -> City_30 -> City_8 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_16 -> City_11 -> City_25 -> City_13 -> City_1 -> City_35 -> City_6 -> City_17 -> City_22 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
120,716.38472224008,716.38472224008,City_14 -> City_3 -> City_8 -> City_33 -> City_9 -> City_24 -> City_10 -> City_31 -> City_12 -> City_21 -> City_30 -> City_29 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_13 -> City_1 -> City_35 -> City_17 -> City_6 -> City_22 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
130,701.3066163778816,701.3066163778816,City_30 -> City_14 -> City_21 -> City_24 -> City_33 -> City_9 -> City_10 -> City_31 -> City_12 -> City_29 -> City_8 -> City_3 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_16 -> City_11 -> City_25 -> City_13 -> City_1 -> City_17 -> City_35 -> City_6 -> City_22 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
140,655.3825830686048,655.3825830686048,City_24 -> City_33 -> City_9 -> City_14 -> City_21 -> City_12 -> City_10 -> City_31 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_40 -> City_15 -> City_39 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_13 -> City_1 -> City_35 -> City_17 -> City_6 -> City_22 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
150,672.5393725880531,653.7904479685744,City_9 -> City_24 -> City_33 -> City_14 -> City_12 -> City_10 -> City_31 -> City_21 -> City_30 -> City_29 -> City_8 -> City_3 -> City_19 -> City_40 -> City_15 -> City_11 -> City_39 -> City_7 -> City_36 -> City_16 -> City_25 -> City_13 -> City_1 -> City_35 -> City_17 -> City_6 -> City_4 -> City_22 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
160,656.969328049086,650.6334247850347,City_33 -> City_24 -> City_9 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_8 -> City_3 -> City_19 -> City_40 -> City_15 -> City_11 -> City_16 -> City_36 -> City_7 -> City_39 -> City_25 -> City_13 -> City_1 -> City_35 -> City_6 -> City_17 -> City_22 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
170,649.7607379731908,647.3295599354371,City_33 -> City_24 -> City_9 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_40 -> City_25 -> City_15 -> City_11 -> City_16 -> City_39 -> City_36 -> City_7 -> City_13 -> City_1 -> City_17 -> City_35 -> City_6 -> City_22 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
180,660.7422626971273,644.6441615262446,City_24 -> City_33 -> City_9 -> City_31 -> City_10 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_8 -> City_3 -> City_19 -> City_40 -> City_25 -> City_16 -> City_11 -> City_15 -> City_39 -> City_7 -> City_36 -> City_13 -> City_1 -> City_35 -> City_17 -> City_22 -> City_6 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_18 -> City_26 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
190,649.7859155183356,644.6441615262446,City_33 -> City_9 -> City_24 -> City_12 -> City_31 -> City_10 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_40 -> City_25 -> City_16 -> City_11 -> City_15 -> City_39 -> City_36 -> City_7 -> City_5 -> City_1 -> City_35 -> City_6 -> City_22 -> City_17 -> City_4 -> City_37 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_13 -> City_23
200,654.1649301119654,636.184123380227,City_33 -> City_24 -> City_9 -> City_10 -> City_31 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_40 -> City_25 -> City_16 -> City_11 -> City_15 -> City_39 -> City_7 -> City_36 -> City_13 -> City_1 -> City_6 -> City_35 -> City_22 -> City_17 -> City_37 -> City_4 -> City_34 -> City_20 -> City_32 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_38 -> City_5 -> City_23
