seed,n_cities,best_distance,time_sec
1,5,227.34551868492375,0.12431073188781738
2,5,227.34551868492375,0.11287713050842285
3,5,227.34551868492375,0.11604094505310059
4,5,227.34551868492375,0.11117362976074219
5,5,227.34551868492375,0.10815858840942383
6,5,227.34551868492375,0.10553836822509766
7,5,227.34551868492375,0.10551047325134277
8,5,227.34551868492375,0.10501337051391602
9,5,227.34551868492375,0.10763120651245117
10,5,227.34551868492375,0.1062009334564209
11,5,227.34551868492375,0.10540318489074707
12,5,227.34551868492375,0.10567402839660645
13,5,227.34551868492375,0.1036062240600586
14,5,227.34551868492375,0.1051785945892334
15,5,227.34551868492375,0.10814046859741211
16,5,227.34551868492375,0.10538935661315918
17,5,227.34551868492375,0.10524725914001465
18,5,227.34551868492375,0.10347700119018555
19,5,227.34551868492375,0.10402798652648926
20,5,227.34551868492375,0.10626220703125
1,10,290.3067737918128,0.24216032028198242
2,10,290.3067737918128,0.23566746711730957
3,10,290.3067737918128,0.23857760429382324
4,10,290.3067737918128,0.23575353622436523
5,10,290.3067737918128,0.23457646369934082
6,10,290.3067737918128,0.23985648155212402
7,10,290.3067737918128,0.23204898834228516
8,10,290.3067737918128,0.2361924648284912
9,10,290.3067737918128,0.23836755752563477
10,10,290.3067737918128,0.2362828254699707
11,10,290.3067737918128,0.23702764511108398
12,10,290.3067737918128,0.2376706600189209
13,10,290.3067737918128,0.23763823509216309
14,10,290.3067737918128,0.23610687255859375
15,10,290.3067737918128,0.23125386238098145
16,10,290.3067737918128,0.23862838745117188
17,10,290.3067737918128,0.23470520973205566
18,10,290.3067737918128,0.23768234252929688
19,10,290.3067737918128,0.23520541191101074
20,10,290.3067737918128,0.23807907104492188
1,15,320.52566568051117,0.3940308094024658
2,15,320.52566568051117,0.3826560974121094
3,15,320.52566568051117,0.37842297554016113
4,15,320.52566568051117,0.387772798538208
5,15,320.52566568051117,0.3788168430328369
6,15,320.5256656805112,0.37917017936706543
7,15,320.52566568051117,0.3779022693634033
8,15,320.52566568051117,0.3755016326904297
9,15,320.52566568051117,0.3863561153411865
10,15,320.52566568051117,0.38253211975097656
11,15,320.5256656805112,0.3776078224182129
12,15,320.52566568051117,0.38082385063171387
13,15,320.52566568051117,0.38021159172058105
14,15,320.52566568051117,0.37660813331604004
15,15,320.52566568051117,0.3786776065826416
16,15,320.5256656805111,0.3762655258178711
17,15,320.52566568051117,0.3794546127319336
18,15,320.52566568051117,0.37758874893188477
19,15,320.52566568051117,0.3757023811340332
20,15,320.52566568051117,0.3783595561981201
1,20,386.6266770171125,1.607956886291504
2,20,388.1977580496498,1.675037145614624
3,20,388.08790934012,1.9859778881072998
4,20,386.62667701711246,1.975999116897583
5,20,386.42968948347004,1.622335433959961
6,20,386.42968948347,1.6196346282958984
7,20,386.4296894834701,1.6198129653930664
8,20,388.3947455832923,1.6268575191497803
9,20,386.42968948347,1.6148219108581543
10,20,388.3947455832923,1.624157428741455
11,20,388.1977580496498,1.6143429279327393
12,20,386.62667701711246,1.6205711364746094
13,20,386.4296894834701,1.6230545043945312
14,20,388.1977580496498,1.6139717102050781
15,20,386.62667701711257,1.6298778057098389
16,20,386.62667701711257,1.62272047996521
17,20,386.4296894834701,1.6201171875
18,20,386.6266770171125,1.611205816268921
19,20,386.42968948347,1.6437714099884033
20,20,388.3947455832923,1.6191110610961914
1,25,415.8963326224688,2.1467583179473877
2,25,410.6167344633717,2.1386661529541016
3,25,427.7283137360088,2.1355159282684326
4,25,426.6591760617323,2.1440935134887695
5,25,410.03220165541086,2.1545145511627197
6,25,413.87305488540335,2.165088176727295
7,25,415.8963326224688,2.146583318710327
8,25,413.19126676023586,2.1603639125823975
9,25,419.65944253805105,2.136547327041626
10,25,427.2425817734911,2.1561880111694336
11,25,427.7397982412391,2.1655197143554688
12,25,410.0322016554109,2.1472301483154297
13,25,429.63885264565386,2.2146363258361816
14,25,410.6167344633717,2.848475933074951
15,25,410.6167344633717,2.4049415588378906
16,25,410.5971659454665,2.3600127696990967
17,25,410.59716594546643,2.55670166015625
18,25,411.16798902317043,2.7488725185394287
19,25,410.5971659454665,2.5579581260681152
20,25,410.6167344633717,2.187282085418701
1,30,515.4704778629549,1.0252761840820312
2,30,493.157955354152,0.9328641891479492
3,30,485.12701950198675,0.927699089050293
4,30,508.3049167397023,1.0790212154388428
5,30,509.9675404845063,0.9829668998718262
6,30,466.6572898978857,0.9849543571472168
7,30,500.6119148407331,1.03786301612854
8,30,488.7255105067171,1.0072143077850342
9,30,505.45056232767377,0.9882309436798096
10,30,492.18484061889666,1.023690938949585
11,30,482.5369808640346,0.9205949306488037
12,30,451.7670007848986,0.9868583679199219
13,30,508.7855866557443,0.9644811153411865
14,30,500.53256605380693,0.9288172721862793
15,30,504.2587504983196,0.8999083042144775
16,30,494.2385775336589,0.9257690906524658
17,30,487.68420703141214,1.008380651473999
18,30,493.0315234796972,1.0077707767486572
19,30,485.12701950198675,1.31052827835083
20,30,506.10192015222617,1.168973445892334
1,35,476.2451437340567,3.632598638534546
2,35,472.95554506386316,3.5577991008758545
3,35,474.0958818128151,3.4070050716400146
4,35,466.8890745647266,3.352578639984131
5,35,466.8890745647268,3.424314260482788
6,35,467.291568532517,3.746608018875122
7,35,464.16828416803753,3.700270652770996
8,35,466.8890745647267,3.674734354019165
9,35,466.8890745647267,4.6358442306518555
10,35,466.8890745647267,3.985103130340576
11,35,466.8890745647267,3.6114120483398438
12,35,467.291568532517,3.530778169631958
13,35,467.291568532517,3.6423444747924805
14,35,481.24647068553674,3.5194408893585205
15,35,467.2915685325171,3.7491066455841064
16,35,466.8890745647267,3.7865285873413086
17,35,466.8890745647267,3.5680668354034424
18,35,466.8890745647267,3.486551284790039
19,35,466.8890745647267,3.613382339477539
20,35,466.8890745647267,3.6784896850585938
1,40,527.4095926869398,11.488633632659912
2,40,526.7496675247049,14.847496271133423
3,40,510.4447756854324,13.148208856582642
4,40,504.82757667261706,12.888583660125732
5,40,524.9801130449546,11.704837560653687
6,40,496.797593591006,11.420088768005371
7,40,516.1800131769216,12.674695014953613
8,40,537.3449309166783,12.060787677764893
9,40,526.24980304168,12.665496110916138
10,40,512.9114465565225,12.5438711643219
11,40,532.7776390894848,13.249565124511719
12,40,504.7331089436936,12.670779705047607
13,40,519.0876311671974,13.162187576293945
14,40,535.7055294369118,12.745157718658447
15,40,533.7434236791572,11.024136304855347
16,40,511.36151356333926,10.814420700073242
17,40,529.4302500539133,15.102978944778442
18,40,513.4382188245672,12.32940125465393
19,40,503.94024208625524,19.439307928085327
20,40,522.6627350698966,17.350992918014526
1,45,541.6077212767517,6.1688551902771
2,45,533.528289825434,4.253118991851807
3,45,545.8374306107164,4.311467409133911
4,45,545.8374306107164,4.123356819152832
5,45,549.5774263144737,4.55060601234436
6,45,541.8363911483732,5.003819704055786
7,45,542.5478319405229,4.1946516036987305
8,45,545.655941560468,4.255028009414673
9,45,541.9223162503401,4.9337379932403564
10,45,542.5478319405227,5.28164267539978
11,45,549.5774263144737,5.435679197311401
12,45,545.8374306107163,5.369095802307129
13,45,545.4265379005043,5.248767614364624
14,45,542.5478319405228,5.211475372314453
15,45,550.1009942145492,5.201648235321045
16,45,550.1009942145492,4.378929615020752
17,45,542.5478319405225,4.494056940078735
18,45,537.832143397112,4.455946683883667
19,45,545.7239361709002,4.944691896438599
20,45,541.6077212767517,4.661014795303345
1,50,566.7510173441117,6.276220321655273
2,50,568.6110922879994,6.89161229133606
3,50,566.7510173441119,6.8065879344940186
4,50,569.0638828175007,6.128758430480957
5,50,568.8896381398572,7.250436782836914
6,50,566.7510173441119,6.210862398147583
7,50,569.0638828175007,7.754990577697754
8,50,566.751017344112,7.561933517456055
9,50,567.6165193207537,7.226293563842773
10,50,566.7510173441119,6.56908392906189
11,50,568.2205125410828,6.605027198791504
12,50,569.3767321283398,6.622783184051514
13,50,570.8503873876698,6.340163469314575
14,50,569.1902907602562,6.334317207336426
15,50,566.7510173441117,7.569992780685425
16,50,566.7510173441121,6.27485203742981
17,50,564.6260745360245,6.501368999481201
18,50,570.4425471048279,6.101487874984741
19,50,570.0568019588579,6.2968909740448
20,50,570.7360350960869,6.203192472457886
