n_cities,best_distance,time_sec,iterations_effective
5,227.34551868492375,0.011004209518432617,8
10,290.3067737918128,0.08268260955810547,8
15,320.5256656805112,0.35868358612060547,12
20,386.42968948347004,1.6379404067993164,23
25,496.07957550373516,0.8702788352966309,9
30,453.90230212014984,2.2426509857177734,21
35,555.021328324778,2.9185056686401367,25
40,569.3242656598483,4.942375183105469,38
45,687.3057670619417,6.293299913406372,43
50,638.0623416982369,5.717840671539307,35
