num_cities,tabu_size,max_iterations,neighborhood_size,stall_limit,best_distance
5,5,300,100,50,227.34551868492375
10,5,300,100,80,290.30677379181276
15,5,300,100,50,320.5256656805112
20,5,300,100,50,386.42968948347
25,20,300,,50,478.34615369002313
30,10,300,200,50,453.90230212014984
35,10,300,,50,534.0039827609232
40,20,300,200,50,556.4787177197825
45,20,300,200,50,635.9392601063124
50,10,300,200,80,638.0623416982369
