num_cities,tabu_size,max_iterations,neighborhood_size,stall_limit,best_distance
5,8,396,100,67,227.34551868492375
10,12,335,,53,290.3067737918128
15,15,447,,74,320.5256656805112
20,20,377,,76,386.42968948347004
25,20,490,100,73,503.81621602796776
30,10,497,200,60,453.90230212014984
35,15,428,,67,534.0039827609232
40,20,416,200,59,556.4787177197825
45,14,451,200,67,667.2747713800571
50,11,477,200,75,632.9538816800983
