iteration,current_distance,best_distance,route
0,2020.4562734040676,2020.4562734040676,City_38 -> City_21 -> City_6 -> City_33 -> City_23 -> City_14 -> City_20 -> City_36 -> City_45 -> City_28 -> City_7 -> City_27 -> City_18 -> City_26 -> City_22 -> City_1 -> City_4 -> City_8 -> City_40 -> City_11 -> City_13 -> City_32 -> City_17 -> City_43 -> City_19 -> City_34 -> City_35 -> City_15 -> City_30 -> City_12 -> City_31 -> City_42 -> City_44 -> City_41 -> City_25 -> City_37 -> City_24 -> City_16 -> City_5 -> City_9 -> City_3 -> City_29 -> City_39 -> City_10 -> City_2
5,1697.8590178922968,1697.8590178922968,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_1 -> City_20 -> City_2 -> City_28 -> City_23 -> City_33 -> City_13 -> City_45 -> City_32 -> City_27 -> City_36 -> City_3 -> City_6 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_9 -> City_17 -> City_35 -> City_15 -> City_10 -> City_38 -> City_7 -> City_21 -> City_29 -> City_12 -> City_30 -> City_8 -> City_41 -> City_44 -> City_39 -> City_18 -> City_26 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
10,1519.8564474137593,1519.8564474137593,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_3 -> City_6 -> City_17 -> City_35 -> City_38 -> City_7 -> City_32 -> City_27 -> City_36 -> City_21 -> City_29 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_9 -> City_23 -> City_33 -> City_13 -> City_45 -> City_15 -> City_10 -> City_8 -> City_41 -> City_44 -> City_20 -> City_39 -> City_1 -> City_18 -> City_26 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
15,1409.7167952477212,1409.7167952477212,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_3 -> City_6 -> City_17 -> City_35 -> City_9 -> City_32 -> City_27 -> City_21 -> City_29 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_23 -> City_33 -> City_13 -> City_20 -> City_44 -> City_1 -> City_45 -> City_39 -> City_36 -> City_15 -> City_10 -> City_8 -> City_7 -> City_41 -> City_18 -> City_26 -> City_2 -> City_38 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
20,1329.8237318867177,1329.8237318867177,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_3 -> City_6 -> City_17 -> City_35 -> City_9 -> City_32 -> City_27 -> City_21 -> City_29 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_44 -> City_1 -> City_28 -> City_23 -> City_33 -> City_13 -> City_20 -> City_45 -> City_39 -> City_36 -> City_7 -> City_15 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
25,1284.715374990129,1284.715374990129,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_6 -> City_17 -> City_35 -> City_9 -> City_32 -> City_44 -> City_27 -> City_21 -> City_29 -> City_3 -> City_12 -> City_30 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_20 -> City_45 -> City_39 -> City_36 -> City_15 -> City_10 -> City_8 -> City_7 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
30,1244.051219399521,1244.051219399521,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_6 -> City_17 -> City_35 -> City_27 -> City_32 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_20 -> City_45 -> City_39 -> City_36 -> City_7 -> City_15 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
35,1224.6425090599641,1224.6425090599641,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_36 -> City_7 -> City_15 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
40,1221.6829671346045,1221.6829671346045,City_11 -> City_42 -> City_24 -> City_14 -> City_31 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_15 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
45,1206.4993809555058,1206.4993809555058,City_11 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_15 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
50,1200.7702264076472,1200.7702264076472,City_15 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_11 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
55,1200.7702264076472,1200.7702264076472,City_15 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_11 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
60,1200.7702264076472,1200.7702264076472,City_15 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_11 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
65,1200.7702264076472,1200.7702264076472,City_15 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_11 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
70,1200.7702264076472,1200.7702264076472,City_15 -> City_42 -> City_24 -> City_31 -> City_14 -> City_6 -> City_17 -> City_35 -> City_27 -> City_44 -> City_9 -> City_21 -> City_29 -> City_3 -> City_30 -> City_12 -> City_37 -> City_22 -> City_4 -> City_34 -> City_5 -> City_28 -> City_1 -> City_23 -> City_33 -> City_13 -> City_32 -> City_20 -> City_45 -> City_39 -> City_7 -> City_36 -> City_11 -> City_10 -> City_8 -> City_41 -> City_18 -> City_26 -> City_38 -> City_2 -> City_40 -> City_19 -> City_43 -> City_25 -> City_16
