iteration,temperature,current_distance,best_distance,route
0,10000.0,2465.2993347982633,2465.2993347982633,City_10 -> City_4 -> City_11 -> City_37 -> City_26 -> City_25 -> City_31 -> City_12 -> City_5 -> City_33 -> City_22 -> City_29 -> City_24 -> City_19 -> City_13 -> City_35 -> City_36 -> City_27 -> City_14 -> City_23 -> City_21 -> City_32 -> City_38 -> City_30 -> City_20 -> City_17 -> City_40 -> City_34 -> City_3 -> City_1 -> City_39 -> City_28 -> City_6 -> City_7 -> City_9 -> City_15 -> City_16 -> City_18 -> City_2 -> City_8
100,6057.70436490728,2362.79641847668,2067.7614517326383,City_24 -> City_23 -> City_2 -> City_30 -> City_33 -> City_25 -> City_11 -> City_8 -> City_1 -> City_21 -> City_34 -> City_26 -> City_12 -> City_29 -> City_22 -> City_13 -> City_7 -> City_4 -> City_40 -> City_5 -> City_31 -> City_35 -> City_10 -> City_19 -> City_6 -> City_18 -> City_17 -> City_32 -> City_14 -> City_3 -> City_20 -> City_28 -> City_16 -> City_39 -> City_36 -> City_27 -> City_9 -> City_37 -> City_15 -> City_38
200,3669.578217261671,2020.5808662765708,1892.3845025326145,City_21 -> City_33 -> City_34 -> City_12 -> City_17 -> City_20 -> City_4 -> City_30 -> City_10 -> City_36 -> City_15 -> City_7 -> City_35 -> City_14 -> City_2 -> City_22 -> City_23 -> City_6 -> City_38 -> City_9 -> City_28 -> City_37 -> City_25 -> City_5 -> City_32 -> City_27 -> City_13 -> City_19 -> City_40 -> City_8 -> City_18 -> City_26 -> City_31 -> City_29 -> City_1 -> City_16 -> City_3 -> City_11 -> City_39 -> City_24
300,2222.9219984074693,2192.3669498011313,1892.3845025326145,City_33 -> City_18 -> City_15 -> City_30 -> City_22 -> City_23 -> City_19 -> City_10 -> City_34 -> City_3 -> City_9 -> City_13 -> City_2 -> City_39 -> City_31 -> City_28 -> City_21 -> City_40 -> City_36 -> City_25 -> City_26 -> City_7 -> City_29 -> City_17 -> City_35 -> City_24 -> City_4 -> City_38 -> City_12 -> City_11 -> City_37 -> City_8 -> City_20 -> City_1 -> City_16 -> City_14 -> City_5 -> City_27 -> City_32 -> City_6
400,1346.5804292601335,2074.1222830203415,1720.6655397545192,City_6 -> City_37 -> City_33 -> City_25 -> City_38 -> City_12 -> City_27 -> City_5 -> City_23 -> City_13 -> City_15 -> City_39 -> City_9 -> City_2 -> City_8 -> City_30 -> City_20 -> City_26 -> City_10 -> City_40 -> City_31 -> City_11 -> City_17 -> City_28 -> City_35 -> City_32 -> City_36 -> City_4 -> City_7 -> City_24 -> City_14 -> City_3 -> City_34 -> City_22 -> City_29 -> City_19 -> City_16 -> City_1 -> City_21 -> City_18
500,815.7186144027828,2183.781622444894,1619.36326816925,City_5 -> City_24 -> City_36 -> City_26 -> City_25 -> City_38 -> City_3 -> City_1 -> City_11 -> City_31 -> City_39 -> City_27 -> City_2 -> City_15 -> City_8 -> City_35 -> City_22 -> City_32 -> City_28 -> City_10 -> City_12 -> City_29 -> City_6 -> City_9 -> City_33 -> City_30 -> City_37 -> City_40 -> City_4 -> City_17 -> City_20 -> City_16 -> City_34 -> City_19 -> City_13 -> City_23 -> City_7 -> City_21 -> City_14 -> City_18
600,494.13822110038524,2276.3346219175687,1619.36326816925,City_32 -> City_19 -> City_25 -> City_27 -> City_39 -> City_37 -> City_23 -> City_8 -> City_4 -> City_30 -> City_38 -> City_3 -> City_24 -> City_13 -> City_7 -> City_28 -> City_18 -> City_36 -> City_1 -> City_12 -> City_26 -> City_40 -> City_35 -> City_17 -> City_33 -> City_9 -> City_14 -> City_11 -> City_5 -> City_6 -> City_2 -> City_10 -> City_20 -> City_31 -> City_15 -> City_29 -> City_22 -> City_21 -> City_16 -> City_34
700,299.33432588273234,2115.6825760761235,1619.36326816925,City_21 -> City_32 -> City_8 -> City_40 -> City_37 -> City_1 -> City_27 -> City_38 -> City_11 -> City_12 -> City_3 -> City_13 -> City_26 -> City_30 -> City_25 -> City_15 -> City_24 -> City_23 -> City_36 -> City_10 -> City_6 -> City_34 -> City_35 -> City_9 -> City_22 -> City_7 -> City_20 -> City_2 -> City_29 -> City_5 -> City_14 -> City_18 -> City_31 -> City_16 -> City_28 -> City_39 -> City_19 -> City_17 -> City_33 -> City_4
800,181.32788524664045,2205.381035119256,1619.36326816925,City_39 -> City_16 -> City_31 -> City_17 -> City_33 -> City_40 -> City_14 -> City_8 -> City_15 -> City_28 -> City_11 -> City_23 -> City_13 -> City_29 -> City_10 -> City_9 -> City_5 -> City_21 -> City_38 -> City_12 -> City_1 -> City_7 -> City_32 -> City_27 -> City_26 -> City_36 -> City_22 -> City_19 -> City_25 -> City_34 -> City_6 -> City_20 -> City_30 -> City_2 -> City_3 -> City_24 -> City_37 -> City_18 -> City_4 -> City_35
900,109.84307219379802,2217.734097601983,1619.36326816925,City_2 -> City_40 -> City_26 -> City_11 -> City_13 -> City_25 -> City_18 -> City_34 -> City_9 -> City_10 -> City_39 -> City_21 -> City_30 -> City_4 -> City_27 -> City_38 -> City_20 -> City_1 -> City_5 -> City_28 -> City_29 -> City_22 -> City_35 -> City_12 -> City_6 -> City_15 -> City_36 -> City_3 -> City_23 -> City_14 -> City_31 -> City_17 -> City_19 -> City_32 -> City_37 -> City_16 -> City_7 -> City_24 -> City_8 -> City_33
