n_cities,best_distance,time_sec,generations_effective
5,227.34551868492375,1.0274062156677246,1005
10,290.3067737918128,1.4311003684997559,1005
15,353.2231373793673,1.8980591297149658,1005
20,462.2958204991451,2.4476430416107178,1005
25,489.2842743141182,3.033482789993286,1005
30,546.4891748102443,3.366044282913208,1005
35,723.0906933250515,3.8328194618225098,1005
40,797.3923451908097,4.441476106643677,1005
45,937.486488008543,4.9082190990448,1005
50,998.7303867722676,5.526198148727417,1005
