iteration,current_distance,best_distance,route
0,2240.030571511831,2240.030571511831,City_14 -> City_24 -> City_41 -> City_48 -> City_11 -> City_47 -> City_13 -> City_46 -> City_4 -> City_29 -> City_34 -> City_22 -> City_37 -> City_28 -> City_44 -> City_23 -> City_10 -> City_5 -> City_18 -> City_9 -> City_35 -> City_31 -> City_15 -> City_38 -> City_16 -> City_25 -> City_20 -> City_12 -> City_39 -> City_7 -> City_2 -> City_50 -> City_42 -> City_1 -> City_33 -> City_49 -> City_8 -> City_40 -> City_17 -> City_21 -> City_6 -> City_30 -> City_3 -> City_36 -> City_26 -> City_43 -> City_19 -> City_32 -> City_45 -> City_27
5,1887.1356131545567,1887.1356131545567,City_41 -> City_11 -> City_47 -> City_48 -> City_21 -> City_46 -> City_14 -> City_24 -> City_28 -> City_5 -> City_44 -> City_32 -> City_18 -> City_13 -> City_17 -> City_6 -> City_35 -> City_38 -> City_25 -> City_3 -> City_15 -> City_29 -> City_42 -> City_40 -> City_39 -> City_36 -> City_12 -> City_4 -> City_8 -> City_10 -> City_50 -> City_43 -> City_33 -> City_37 -> City_22 -> City_34 -> City_1 -> City_9 -> City_26 -> City_2 -> City_19 -> City_23 -> City_16 -> City_7 -> City_31 -> City_20 -> City_49 -> City_30 -> City_45 -> City_27
10,1756.3287933302793,1756.3287933302793,City_41 -> City_4 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_36 -> City_12 -> City_19 -> City_47 -> City_48 -> City_18 -> City_44 -> City_7 -> City_26 -> City_3 -> City_40 -> City_9 -> City_8 -> City_10 -> City_50 -> City_43 -> City_33 -> City_24 -> City_37 -> City_22 -> City_35 -> City_13 -> City_38 -> City_1 -> City_21 -> City_23 -> City_34 -> City_28 -> City_5 -> City_31 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_6 -> City_30 -> City_32 -> City_45 -> City_27
15,1545.0372662323266,1545.0372662323266,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_20 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_3 -> City_40 -> City_8 -> City_19 -> City_10 -> City_50 -> City_43 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_31 -> City_16 -> City_25 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
20,1482.130914283682,1482.130914283682,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_20 -> City_44 -> City_7 -> City_3 -> City_40 -> City_19 -> City_10 -> City_50 -> City_8 -> City_43 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_31 -> City_16 -> City_25 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
25,1463.9826900198932,1463.9826900198932,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_3 -> City_40 -> City_19 -> City_10 -> City_8 -> City_50 -> City_43 -> City_31 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
30,1463.9826900198932,1463.9826900198932,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_3 -> City_40 -> City_19 -> City_10 -> City_8 -> City_50 -> City_43 -> City_31 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
35,1463.9826900198932,1463.9826900198932,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_11 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_3 -> City_40 -> City_19 -> City_10 -> City_8 -> City_50 -> City_43 -> City_31 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
40,1459.659357859562,1459.659357859562,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_3 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_11 -> City_40 -> City_19 -> City_10 -> City_8 -> City_50 -> City_43 -> City_31 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
45,1459.659357859562,1459.659357859562,City_41 -> City_46 -> City_14 -> City_15 -> City_29 -> City_42 -> City_3 -> City_39 -> City_36 -> City_12 -> City_9 -> City_26 -> City_18 -> City_47 -> City_48 -> City_44 -> City_7 -> City_11 -> City_40 -> City_19 -> City_10 -> City_8 -> City_50 -> City_43 -> City_31 -> City_33 -> City_24 -> City_37 -> City_6 -> City_35 -> City_4 -> City_34 -> City_23 -> City_22 -> City_1 -> City_13 -> City_38 -> City_28 -> City_5 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_17 -> City_21 -> City_30 -> City_32 -> City_45 -> City_27
