n_cities,best_distance,time_sec,generations_effective
5,227.34551868492375,1.0545952320098877,1005
10,290.3067737918128,1.342712640762329,1005
15,353.2231373793673,1.8128118515014648,1005
20,462.2958204991451,2.401362657546997,1005
25,489.2842743141182,3.064166307449341,1005
30,546.4891748102443,3.276419162750244,1005
35,723.0906933250515,3.704676389694214,1005
40,797.3923451908097,4.239065408706665,1005
45,937.486488008543,4.768785715103149,1005
50,998.7303867722676,5.697324991226196,1005
