num_cities,tabu_size,max_iterations,neighborhood_size,stall_limit,best_distance
5,5,300,100.0,50,227.34551868492372
10,5,300,100.0,80,290.3067737918128
15,5,300,100.0,50,320.5256656805112
20,5,300,100.0,50,386.42968948347
25,20,300,,50,478.34615369002313
30,10,300,200.0,50,453.9023021201498
35,10,300,,50,534.0039827609232
40,20,300,200.0,50,556.4787177197825
45,20,300,200.0,50,635.9392601063124
50,11,477,200.0,75,632.9538816800983
