seed,n_cities,best_distance,time_sec
1,5,227.34551868492375,0.010311126708984375
2,5,227.34551868492375,0.005312919616699219
3,5,227.34551868492375,0.005812883377075195
4,5,227.34551868492375,0.0055310726165771484
5,5,227.34551868492375,0.0055141448974609375
6,5,227.34551868492375,0.00609588623046875
7,5,227.34551868492375,0.006787776947021484
8,5,227.34551868492375,0.006935596466064453
9,5,227.34551868492375,0.008150577545166016
10,5,227.34551868492375,0.006688117980957031
11,5,227.34551868492375,0.008739233016967773
12,5,227.34551868492375,0.00728154182434082
13,5,227.34551868492375,0.005353689193725586
14,5,227.34551868492375,0.005424022674560547
15,5,227.34551868492375,0.005637645721435547
16,5,227.34551868492375,0.012880325317382812
17,5,227.34551868492375,0.013702154159545898
18,5,227.34551868492375,0.0060672760009765625
19,5,227.34551868492375,0.007473468780517578
20,5,227.34551868492375,0.005130767822265625
1,10,290.3067737918128,0.076629638671875
2,10,290.3067737918128,0.08656167984008789
3,10,290.3067737918128,0.1360940933227539
4,10,290.3067737918128,0.07086515426635742
5,10,290.3067737918128,0.0704338550567627
6,10,290.30677379181276,0.11407923698425293
7,10,290.30677379181276,0.07638263702392578
8,10,290.3067737918128,0.07251977920532227
9,10,290.30677379181276,0.06225705146789551
10,10,290.3067737918128,0.06681227684020996
11,10,290.30677379181276,0.06953167915344238
12,10,290.30677379181276,0.10156631469726562
13,10,290.3067737918128,0.07241320610046387
14,10,290.3067737918128,0.0712137222290039
15,10,290.3067737918128,0.06659936904907227
16,10,290.3067737918128,0.06727027893066406
17,10,290.3067737918128,0.06597542762756348
18,10,290.3067737918128,0.0654151439666748
19,10,290.3067737918128,0.06644439697265625
20,10,290.30677379181276,0.11719942092895508
1,15,320.52566568051117,0.2119741439819336
2,15,320.5256656805113,0.20952248573303223
3,15,393.26644394820204,0.18355011940002441
4,15,320.5256656805113,0.20014190673828125
5,15,320.5256656805113,0.24388599395751953
6,15,320.5256656805112,0.18357348442077637
7,15,320.5256656805112,0.20634245872497559
8,15,320.5256656805113,0.24225115776062012
9,15,320.52566568051117,0.18826818466186523
10,15,320.52566568051117,0.16328668594360352
11,15,320.52566568051117,0.2444441318511963
12,15,320.52566568051117,0.2117164134979248
13,15,320.5256656805112,0.1934046745300293
14,15,320.52566568051117,0.19175314903259277
15,15,320.52566568051117,0.15220355987548828
16,15,320.5256656805112,0.1575298309326172
17,15,320.52566568051117,0.17113137245178223
18,15,320.52566568051117,0.2816944122314453
19,15,320.5256656805113,0.1790146827697754
20,15,320.52566568051117,0.14092326164245605
1,20,386.42968948347004,0.2630770206451416
2,20,442.2888473800286,0.3264298439025879
3,20,386.42968948347004,0.4819765090942383
4,20,386.42968948347004,0.7051396369934082
5,20,386.42968948347004,0.7892985343933105
6,20,386.6266770171125,0.2109677791595459
7,20,386.4296894834701,0.46842145919799805
8,20,386.4296894834701,0.44899868965148926
9,20,386.42968948347004,0.24980783462524414
10,20,444.96906730764834,0.448291540145874
11,20,386.42968948347,0.5012192726135254
12,20,386.42968948347004,0.3638620376586914
13,20,386.6266770171124,0.2472686767578125
14,20,386.42968948347004,0.3303239345550537
15,20,386.42968948347,0.3041694164276123
16,20,386.42968948347004,0.4158210754394531
17,20,448.4074740419457,0.30498576164245605
18,20,386.62667701711246,0.511467456817627
19,20,386.42968948347,0.6760215759277344
20,20,386.62667701711257,0.3898792266845703
1,25,484.6010191471155,0.8289499282836914
2,25,462.70774312239985,1.4678077697753906
3,25,441.5993097381685,0.8848667144775391
4,25,407.8783903529767,1.478562593460083
5,25,432.0727877350159,1.7027068138122559
6,25,500.1752416421865,1.2438991069793701
7,25,461.458744903628,1.0777733325958252
8,25,481.0395249129705,0.8943262100219727
9,25,407.3075672752727,1.5459105968475342
10,25,454.8915560129723,1.2274823188781738
11,25,476.9139826844966,0.8753657341003418
12,25,483.3083566801274,1.5045521259307861
13,25,483.2409867479591,2.025076150894165
14,25,407.3075672752727,2.0545504093170166
15,25,495.0595884366188,1.137345314025879
16,25,407.3075672752727,1.569774866104126
17,25,407.3075672752727,1.595144271850586
18,25,519.3854247159601,1.7938742637634277
19,25,475.9736567018471,2.012213945388794
20,25,407.8783903529767,1.766514778137207
