num_cities,n_ants,alpha,beta,evaporation_rate,q,max_iterations,best_distance
10,22,2.701135272635284,5.723033869383034,0.46270729750547235,69,58,290.3067737918128
10,13,1.2535170874255606,3.6838422276403167,0.17955451475058265,36,171,290.3067737918128
10,34,2.7915209230804523,3.578129822563453,0.34159427261521075,57,124,290.3067737918128
10,28,1.2280251053684959,2.42505483322558,0.23905266319439755,71,117,290.3067737918128
10,33,2.0927124423227017,2.691081248603044,0.4297102381893776,38,54,290.3067737918128
10,25,2.465882042901283,4.513027849902626,0.6400509618769014,105,84,290.3067737918128
10,38,2.528808229414479,3.118882710495928,0.7923634904345058,50,82,290.3067737918128
10,25,1.2924868868499226,3.2883868464375077,0.2732883180158698,120,175,290.3067737918128
10,23,2.309191967121875,3.8248316928850152,0.338597940313367,33,107,290.3067737918128
10,14,1.201793426185014,2.134305103017123,0.5184494277120869,32,112,290.3067737918128
10,42,1.301722153391277,2.247494800404403,0.17245131408927414,107,71,290.3067737918128
10,41,2.0554300392555653,4.556434342664602,0.5178795804980955,120,200,290.3067737918128
10,30,1.8715507372121782,2.6599352751834067,0.6158084667935635,145,88,290.3067737918128
10,10,1.0334522952052598,4.888770886502884,0.47501667204674736,93,54,290.3067737918128
10,39,2.335155465172706,5.951569812265792,0.5168166229285939,133,179,290.3067737918128
10,15,1.012699157107234,2.7176514245908545,0.16239886801480408,92,156,290.3067737918128
10,39,1.6136126840072396,3.621666451873589,0.45176432986687276,99,80,290.3067737918128
10,35,1.9789174518312755,4.309702117216646,0.2881020064612402,126,146,290.3067737918128
