seed,n_cities,best_distance,time_sec
1,5,227.34551868492375,0.17547225952148438
2,5,227.34551868492375,0.1728992462158203
3,5,227.34551868492375,0.1312730312347412
4,5,227.34551868492375,0.12143349647521973
5,5,227.34551868492375,0.11638426780700684
6,5,227.34551868492375,0.1199960708618164
7,5,227.34551868492375,0.12292289733886719
8,5,227.34551868492375,0.11878538131713867
9,5,227.34551868492375,0.11452960968017578
10,5,227.34551868492375,0.1108860969543457
11,5,227.34551868492375,0.10879278182983398
12,5,227.34551868492375,0.10802030563354492
13,5,227.34551868492375,0.11343264579772949
14,5,227.34551868492375,0.11138248443603516
15,5,227.34551868492375,0.12176370620727539
16,5,227.34551868492375,0.11484694480895996
17,5,227.34551868492375,0.1272876262664795
18,5,227.34551868492375,0.12747526168823242
19,5,227.34551868492375,0.12619614601135254
20,5,227.34551868492375,0.1185007095336914
1,10,290.3067737918128,0.26865553855895996
2,10,290.3067737918128,0.2765629291534424
3,10,290.3067737918128,0.27673768997192383
4,10,290.3067737918128,0.2544865608215332
5,10,290.3067737918128,0.26012158393859863
6,10,290.3067737918128,0.2654452323913574
7,10,290.3067737918128,0.2924630641937256
8,10,290.3067737918128,0.271848201751709
9,10,290.3067737918128,0.25740480422973633
10,10,290.3067737918128,0.24796462059020996
11,10,290.3067737918128,0.24428415298461914
12,10,290.3067737918128,0.24392437934875488
13,10,290.3067737918128,0.244218111038208
14,10,290.3067737918128,0.26256442070007324
15,10,290.3067737918128,0.27361464500427246
16,10,290.3067737918128,0.2517683506011963
17,10,290.3067737918128,0.24559593200683594
18,10,290.3067737918128,0.24437952041625977
19,10,290.3067737918128,0.24216580390930176
20,10,290.3067737918128,0.24400591850280762
1,15,320.52566568051117,2.196148157119751
2,15,320.5256656805111,2.5501413345336914
3,15,320.52566568051117,2.568643093109131
4,15,320.52566568051117,2.5939362049102783
5,15,320.5256656805112,3.580639600753784
6,15,320.52566568051117,2.3655285835266113
7,15,320.52566568051117,2.2185025215148926
8,15,320.52566568051117,2.438131332397461
9,15,320.52566568051117,2.196570873260498
10,15,320.5256656805111,2.1589858531951904
11,15,320.52566568051117,2.2318403720855713
12,15,320.52566568051117,2.1924002170562744
13,15,320.52566568051117,2.2916100025177
14,15,320.72681861204336,2.259157180786133
15,15,320.52566568051117,2.210188627243042
16,15,320.5256656805112,2.2072677612304688
17,15,320.5256656805111,2.4260544776916504
18,15,320.52566568051117,2.302863836288452
19,15,320.52566568051117,2.3195199966430664
20,15,320.52566568051117,3.627537965774536
1,20,397.7999562790666,3.6204442977905273
